,core_code,unit,depth,order,type,Density (g/cm3),P (mg/kg)
0,001_1,nan,nan,1,deposition,0.873842968019599,519.6663286004057
1,001_2,nan,nan,1,deposition,0.7905563496575798,756.8042955008332
2,001_3,nan,nan,1,deposition,0.8929693313177662,674.6364424523981
3,002_1,nan,nan,2,deposition,1.1654040909633272,235.52894211576847
4,002_2,nan,nan,2,deposition,1.2199432057014348,463.46062992125985
5,002_3,nan,nan,2,deposition,1.3094024231278623,367.4089068825911
6,003_1,nan,nan,5,deposition,1.6700792679899676,208.13839028350242
7,003_2,nan,nan,5,deposition,1.7103605482694415,201.11671174493895
8,003_3,nan,nan,5,deposition,1.6277694340273556,229.08459749230536
9,004_1,nan,nan,1,deposition,1.216784457823404,355.4009782207456
10,004_2,nan,nan,1,deposition,1.2344038955283823,375.4880456240404
11,004_3,nan,nan,1,deposition,1.2660203536470194,346.24475744866544
12,005_1,nan,nan,5,deposition,1.5658405880149564,173.94049957900646
13,005_2,nan,nan,5,deposition,1.5434395594854362,158.0006952680872
14,005_3,nan,nan,5,deposition,1.597746839516899,275.3528908533542
15,006_1,nan,nan,5,deposition,1.6350722272866558,126.47656623625059
16,006_2,nan,nan,5,deposition,1.6836415983286683,151.36253627240114
17,006_3,nan,nan,5,deposition,1.4180459625291184,174.50144190820666
18,007_1,nan,nan,6,deposition,1.5401938735924139,135.1887344402526
19,007_2,nan,nan,6,deposition,1.5140834897565827,143.00407870238882
20,007_3,nan,nan,6,deposition,1.498231791689768,119.19791308336201
21,008_1,nan,nan,4,deposition,1.4143366072228072,303.11408333815837
22,008_2,nan,nan,4,deposition,1.2977237497806482,397.21965068197244
23,008_3,nan,nan,4,deposition,1.327195736862824,460.82394897094264
24,009_1,nan,nan,4,deposition,1.476729122648495,337.8859689527827
25,009_2,nan,nan,4,deposition,1.450618738812664,350.0626773237765
26,009_3,nan,nan,4,deposition,1.5448015883869726,407.70348554465767
27,010_1,nan,nan,3,deposition,1.1744746238607915,455.83900226757373
28,010_2,nan,nan,3,deposition,1.2372728500231074,419.08802784787036
29,010_3,nan,nan,3,deposition,1.2185521974615678,539.6586345381527
30,01100,Camp Creek,0.0,6,erosion,1.2116664608532997,485.1543685823637
31,01102,Camp Creek,0.2,6,erosion,1.2092842013709442,530.7690792779116
32,011_1,nan,nan,3,deposition,1.4782650275800149,163.83832335329342
33,011_2,nan,nan,3,deposition,1.4766421846335036,186.04856410492548
34,011_3,nan,nan,3,deposition,1.4832784531112009,189.6338371643809
35,01200,Robert's Creek,0.0,6,erosion,1.1447989015899378,675.942824435747
36,01205,Robert's Creek,0.5,6,erosion,1.2270279271705582,553.1236023959882
37,01210,Robert's Creek,1.0,6,erosion,1.2963598927949778,550.0904355897746
38,012_1,nan,nan,3,deposition,1.1366276080010849,459.16334661354585
39,012_2,nan,nan,3,deposition,1.3023604439135372,415.675223965718
40,012_3,nan,nan,3,deposition,1.2980425225022842,434.00858306662786
41,01300,Gunder,0.0,6,erosion,1.1070934842657574,491.3719205757525
42,01305,Gunder,0.5,6,erosion,1.117526137860901,523.9387872809708
43,01310,Gunder,1.0,6,erosion,1.267937072764114,484.1222879684418
44,01315,Gunder,1.5,6,erosion,1.3367761571163215,522.6920071801388
45,01325,Gunder,2.5,6,erosion,1.4692790724625164,502.01344909685463
46,01330,Gunder,3.0,6,erosion,1.3246184190684378,810.3028102995631
47,01335,Gunder,3.5,6,erosion,1.290116730013632,295.6891669241067
48,013_1,nan,nan,4,deposition,1.381097306157659,542.1356083014693
49,013_2,nan,nan,4,deposition,1.3771561161447035,480.01022494887525
50,013_3,nan,nan,4,deposition,1.2420544408476493,531.5533382606553
51,01400,Gunder,0.0,6,erosion,,311.9586965775503
52,014_1,nan,nan,2,deposition,1.2297672013954932,490.60502989074416
53,014_2,nan,nan,2,deposition,1.1714897520127443,709.7290815600675
54,014_3,nan,nan,2,deposition,1.2176538379733206,702.0364891518738
55,015_1,nan,nan,6,deposition,1.5163148988080353,305.2971864957963
56,015_2,nan,nan,6,deposition,1.43062299536458,352.927807750835
57,015_3,nan,nan,6,deposition,1.2490094820469828,468.9437751004016
58,016_1,nan,nan,6,deposition,1.660197313619248,216.89921570374088
59,016_2,nan,nan,6,deposition,1.6032818931380353,151.30135768067825
60,016_3,nan,nan,6,deposition,1.5960950172320572,225.92428885745716
61,017_1,nan,nan,4,deposition,1.5002313660345767,385.677286750144
62,017_2,nan,nan,4,deposition,1.303867369506726,391.4117101697333
63,017_3,nan,nan,4,deposition,1.2466621556422077,362.5024196670538
64,018_1,nan,nan,2,deposition,1.213654689283704,659.3665949953374
65,018_2,nan,nan,2,deposition,1.1517838019479658,416.2094660989191
66,018_3,nan,nan,2,deposition,0.9811534578576495,569.6713082710319
67,02100,Camp Creek,0.0,4,erosion,1.0104887549123007,835.1907432491306
68,02105,Camp Creek,0.5,4,erosion,0.9621042433568707,556.5274431057564
69,02110,Camp Creek,1.0,4,erosion,0.9780407378250432,508.2649929412116
70,02200,Robert's Creek,0.0,4,erosion,0.9585719275726884,633.5585039892363
71,02205,Robert's Creek,0.5,4,erosion,1.0012061576189841,241.58807185066334
72,02300,Gunder,0.0,4,erosion,1.127548057062535,282.5335089960609
73,02305,Gunder,0.5,4,erosion,1.1261926335639534,396.7848988910633
74,02310,Gunder,1.0,4,erosion,1.1237693006422467,345.0240141283429
75,02315,Gunder,1.5,4,erosion,1.0725096483322494,560.024285966528
76,02325,Gunder,2.5,4,erosion,1.1393772075956112,544.2111337117964
77,02330,Gunder,3.0,4,erosion,1.211337873338492,1816.0528191097928
78,03100,Camp Creek,0.0,3,erosion,0.9111731785616812,558.2065986567079
79,03105,Camp Creek,0.5,3,erosion,0.9651436778688418,305.9167442234698
80,03110,Camp Creek,1.0,3,erosion,1.1010967621205172,365.9850270424852
81,03113,Camp Creek,1.3,3,erosion,1.2047661230423385,346.9379739783788
82,03200,Robert's Creek,0.0,3,erosion,1.2795197826610845,482.5975333126216
83,03205,Robert's Creek,0.5,3,erosion,1.1977014914739734,602.2964509394573
84,03300,Gunder,0.0,3,erosion,0.9983310168644172,714.9434383236588
85,03305,Gunder,0.5,3,erosion,1.0964143900345078,560.7214810016067
86,03310,Gunder,1.0,3,erosion,1.0766991391460472,623.9666516813887
87,03315,Gunder,1.5,3,erosion,1.0222357585666753,592.3309703903434
88,03320,Gunder,2.0,3,erosion,1.1171154034673914,602.8878143673123
89,03325,Gunder,2.5,3,erosion,1.2840378609896899,559.0226135945414
90,03330,Gunder,3.0,3,erosion,1.2944705145848334,459.9427246047524
91,03333,Gunder,3.3,3,erosion,1.3157465561686303,468.1802835886303
92,04100,Camp Creek,0.0,4,erosion,0.8021642705242353,758.405629678417
93,04103,Camp Creek,0.3,4,erosion,0.9800122629138892,563.4328844989051
94,04200,Robert's Creek,0.0,4,erosion,0.9155269631328831,664.6274490942216
95,04205,Robert's Creek,0.5,4,erosion,1.1068470436296516,460.0063398140322
96,04300,Gunder,0.0,4,erosion,1.1336269260864769,443.252492758467
97,04305,Gunder,0.5,4,erosion,1.0501656973253275,474.3326404923934
98,04310,Gunder,1.0,4,erosion,1.1490705392824374,547.042428087163
99,04315,Gunder,1.5,4,erosion,1.0969072713067192,2557.040882454365
100,04320,Gunder,2.0,4,erosion,1.1914583286926277,577.5233901932603
101,04325,Gunder,2.5,4,erosion,1.2118307546107032,505.3798502865139
102,04330,Gunder,3.0,4,erosion,1.2706479197612772,450.33587221733274
103,04335,Gunder,3.5,4,erosion,1.3496732170725227,498.03937965105166
104,04340,Gunder,4.0,4,erosion,1.3188681375593032,658.3322014602348
105,04343,Gunder,4.3,4,erosion,1.2721265635779115,579.1909301524687
106,05100,Camp Creek,0.0,6,erosion,1.1254122382162852,682.3522838737014
107,05105,Camp Creek,0.5,6,erosion,1.0522193692928756,469.1728436300397
108,05200,Robert's Creek,0.0,6,erosion,1.0419510094551359,460.14139833451765
109,05205,Robert's Creek,0.5,6,erosion,0.9733583657390336,419.63008334595406
110,05210,Robert's Creek,1.0,6,erosion,1.2630082600419987,323.33637619336747
111,05215,Robert's Creek,1.5,6,erosion,1.3776853027098772,268.5189451702031
112,05220,Robert's Creek,2.0,6,erosion,1.388282250062425,186.9226168817269
113,05225,Robert's Creek,2.5,6,erosion,1.6647886437730826,516.0199206368217
114,05235,Robert's Creek,3.5,6,erosion,1.29003458313493,244.41068804524335
115,05238,Robert's Creek,3.8,6,erosion,1.4632823503172763,198.14648407564596
116,06100,Camp Creek,0.0,2,erosion,0.9736869532538414,580.6410569354643
117,06200,Robert's Creek,0.0,2,erosion,1.1887200994025637,412.1131272086497
118,06204,Robert's Creek,0.4,2,erosion,1.3536162672502148,389.60010322886575
119,06300,Gunder,0.0,2,erosion,1.2318745930139716,262.95353791672073
120,06305,Gunder,0.5,2,erosion,1.4124334324007888,267.9000024243795
121,06310,Gunder,1.0,2,erosion,1.5354073098175605,285.2088647608798
122,06315,Gunder,1.5,2,erosion,1.636119383106113,501.70725951721016
123,06320,Gunder,2.0,2,erosion,1.4348595302864124,833.9526309879235
124,06325,Gunder,2.5,2,erosion,1.6748105629747172,367.73851940091345
125,06330,Gunder,3.0,2,erosion,1.4673896942523725,466.19066249347935
126,06335,Gunder,3.5,2,erosion,1.5106810993282833,605.4892253931275
127,06339,Gunder,3.9,2,erosion,1.5883920465802985,698.1483856659212
128,06345,Gunder,4.5,2,erosion,1.9587101757685472,349.03317543053595
129,07100,Camp Creek,0.0,3,erosion,1.2461681499081054,316.8438895337286
130,07103,Camp Creek,0.3,3,erosion,1.0930463680077291,374.33032061445516
131,07200,Robert's Creek,0.0,3,erosion,1.0955107743687866,525.6679384994185
132,07205,Robert's Creek,0.5,3,erosion,0.9554503461820154,467.52171407616953
133,07210,Robert's Creek,1.0,3,erosion,1.0061349703410993,488.6529328310603
134,07300,Gunder,0.0,3,erosion,1.068895185669365,453.2672966342786
135,07305,Gunder,0.5,3,erosion,1.1751932467096475,175.05956559654666
136,07310,Gunder,1.0,3,erosion,1.4295199831707877,197.6345785817031
137,07315,Gunder,1.5,3,erosion,1.3076961620558425,953.1405521504531
138,07320,Gunder,2.0,3,erosion,1.3941146784502607,380.23387309771186
139,07325,Gunder,2.5,3,erosion,1.2947169552209394,248.79002238672342
140,07330,Gunder,3.0,3,erosion,1.2693335697020465,990.1114372335079
141,07335,Gunder,3.5,3,erosion,1.521278046680831,299.205519487175
142,07340,Gunder,4.0,3,erosion,1.2098592295218573,202.2071853427022
143,07345,Gunder,4.5,3,erosion,1.6392409644967862,281.7473276997276
144,08100,Camp Creek,0.0,1,erosion,1.1751932467096478,323.97503380336104
145,08105,Camp Creek,0.5,1,erosion,1.057887503923308,258.04255828808687
146,08200,Robert's Creek,0.0,1,erosion,0.978122884703745,233.76673933354095
147,08205,Robert's Creek,0.5,1,erosion,1.1426630827436879,95.65412186379928
148,08300,Gunder,0.0,1,erosion,1.2389392245823365,135.5146771037182
149,08305,Gunder,0.5,1,erosion,1.0965786837919116,178.00761890822753
150,08312,Gunder,1.2,1,erosion,1.3604344581824743,373.4502676810369
151,08315,Gunder,1.5,1,erosion,1.2965241865523816,185.50912308487943
152,08320,Gunder,2.0,1,erosion,1.3072032807836311,164.22032890050798
153,08325,Gunder,2.5,1,erosion,1.151863533158303,243.56197424789698
154,08330,Gunder,3.0,1,erosion,1.4022472194417508,149.07207717362056
155,08340,Gunder,4.0,1,erosion,1.5232495717696768,64.52655325894763
156,08350,Gunder,5.0,1,erosion,1.40093286938252,124.25149700598801
157,08355,Gunder,5.5,1,erosion,1.603835659776259,206.78856896796987
158,08357,Gunder,5.7,1,erosion,1.506902342907995,313.23889785428247
159,09100,Camp Creek,0.0,2,erosion,0.9776300034315334,260.5810581058106
160,09200,Robert's Creek,0.0,2,erosion,1.3653632709045893,119.20422257379342
161,09300,Gunder,0.0,2,erosion,1.1399522357465246,155.82046462963322
162,09305,Gunder,0.5,2,erosion,1.2064912074950787,231.18812877263582
163,09310,Gunder,1.0,2,erosion,1.1889939223315702,194.65831663326654
164,09315,Gunder,1.5,2,erosion,1.0665950730657112,172.0572868645891
165,09320,Gunder,2.0,2,erosion,1.1819292907632053,137.5090056573244
166,09325,Gunder,2.5,2,erosion,0.9267810855150458,130.45372402220215
167,09330,Gunder,3.0,2,erosion,1.2169238610902224,127.2973879419192
168,09340,Gunder,4.0,2,erosion,1.3085176308428617,106.203007518797
169,09345,Gunder,4.5,2,erosion,,169.8357848572203
170,10100,Camp Creek,0.0,4,erosion,1.0081064954299452,500.81762837786937
171,10105,Camp Creek,0.5,4,erosion,1.2601331192874317,354.5608524267061
172,10110,Camp Creek,1.0,4,erosion,0.9794372347629756,372.3160773585208
173,10200,Robert's Creek,0.0,4,erosion,1.2043553886488287,528.538325734551
174,10205,Robert's Creek,0.5,4,erosion,1.2356533494342599,488.42816620989316
175,10210,Robert's Creek,1.0,4,erosion,1.1990979884119062,375.7342679019595
176,10216,Robert's Creek,1.6,4,erosion,1.179054150008638,380.9071703069996
177,10220,Robert's Creek,2.0,4,erosion,1.2086270263413286,366.1479273452028
178,10300,Gunder,0.0,4,erosion,1.0221536116879733,384.8408946592536
179,10305,Gunder,0.5,4,erosion,1.2635011413142103,333.2896761687596
180,10310,Gunder,1.0,4,erosion,1.2211133519040203,742.2796816631511
181,10315,Gunder,1.5,4,erosion,1.5145420026272738,563.1653956594313
182,10320,Gunder,2.0,4,erosion,1.243621596668346,756.2359975414055
183,10323,Gunder,2.3,4,erosion,1.7420888566315884,297.09059891581114
184,12323,Gunder,2.3,3,erosion,1.3021607528945944,240.96385542168676
185,13100,Camp Creek,0.0,1,erosion,1.2337639712241157,351.8267091423948
186,13105,Camp Creek,0.5,1,erosion,0.9773835627954277,399.0742441431593
187,13200,Robert's Creek,0.0,1,erosion,0.9892948602072059,487.61118168018476
188,13205,Robert's Creek,0.5,1,erosion,1.2457574155145958,339.7070254845559
189,13208,Robert's Creek,0.8,1,erosion,1.307942602691948,204.99682007076885
190,13300,Gunder,0.0,1,erosion,1.292909723889497,409.52837518033243
191,13310,Gunder,1.0,1,erosion,1.2442787716979615,606.6398457646086
192,13315,Gunder,1.5,1,erosion,1.3820390872810784,169.96536489465527
193,13320,Gunder,2.0,1,erosion,1.5441148789599641,178.92049018258137
194,13325,Gunder,2.5,1,erosion,1.4859548888390062,118.64782562112354
195,14105,Camp Creek,0.5,1,erosion,1.1337912198438806,231.16089613034623
196,14200,Robert's Creek,0.0,1,erosion,1.0767812860247492,232.29385748748982
197,14205,Robert's Creek,0.5,1,erosion,1.253725662748682,134.48104812613425
198,14300,Gunder,0.0,1,erosion,1.2936490457978143,140.62413562691356
199,14305,Gunder,0.5,1,erosion,1.2357354963129616,188.8287553150213
200,14310,Gunder,1.0,1,erosion,1.246661031180317,167.73976613943998
201,14315,Gunder,1.5,1,erosion,1.2337639712241157,220.2136810734096
202,14320,Gunder,2.0,1,erosion,1.3349689257848791,249.7586255828014
203,14325,Gunder,2.5,1,erosion,1.476918732181795,254.21500233855718
204,14330,Gunder,3.0,1,erosion,1.4652538754061224,266.7276672979798
205,14334,Gunder,3.4,1,erosion,1.8556979898763413,432.3196454064261
206,15100,Camp Creek,0.0,6,erosion,1.0200177928417236,296.98365185355743
207,15104,Camp Creek,0.4,6,erosion,1.0160747426640313,129.07062511524987
208,15300,Gunder,0.0,6,erosion,1.1361734793262364,116.44647696476964
209,15305,Gunder,0.5,6,erosion,1.258736622349499,133.65451674188557
210,15310,Gunder,1.0,6,erosion,1.317553787500073,201.25316255534472
211,15315,Gunder,1.5,6,erosion,1.232449621164885,450.54963030818556
212,15320,Gunder,2.0,6,erosion,1.2332710899519042,278.52988047808765
213,15325,Gunder,2.5,6,erosion,1.7547394759516837,198.69199626284646
214,15335,Gunder,3.5,6,erosion,1.826042966664949,186.1164214111297
215,15338,Gunder,3.8,6,erosion,2.079383940581666,136.6805893955215
216,16100,Camp Creek,0.0,5,erosion,0.9652258247475438,438.39418205010094
217,16103,Camp Creek,0.3,5,erosion,1.1831614939437336,295.10395707578806
218,16200,Robert's Creek,0.0,5,erosion,1.0771920204182588,289.85278566967116
219,16205,Robert's Creek,0.5,5,erosion,1.0552588038048465,414.4314489928525
220,16208,Robert's Creek,0.8,5,erosion,1.1690322308070038,367.49008891423637
221,16300,Gunder,0.0,5,erosion,1.1998373103202233,405.39749911140683
222,16305,Gunder,0.5,5,erosion,1.2709765072760848,318.25428376711886
223,16310,Gunder,1.0,5,erosion,1.226452899019645,209.42743538767394
224,16315,Gunder,1.5,5,erosion,1.1372413887493613,226.74769981948452
225,16320,Gunder,2.0,5,erosion,1.371688580564637,274.45803852942504
226,16325,Gunder,2.5,5,erosion,1.440445518038143,293.65645388871155
227,16330,Gunder,3.0,5,erosion,1.3983041692640588,295.4945494549455
228,16335,Gunder,3.5,5,erosion,1.4659110504357376,391.2670682730924
229,16340,Gunder,4.0,5,erosion,1.2765624950278154,348.80255560626205
230,16345,Gunder,4.5,5,erosion,1.6226472949989983,137.32655274617917
231,17100,Camp Creek,0.0,5,erosion,1.3859821374587709,480.52949293240385
232,17103,Camp Creek,0.3,5,erosion,1.217416742362434,425.1686586985391
233,17200,Robert's Creek,0.0,5,erosion,1.2200454424808953,495.81579215445123
234,17205,Robert's Creek,0.5,5,erosion,1.2072305294033958,624.3526496338624
235,17210,Robert's Creek,1.0,5,erosion,1.3511518608891577,594.8610700657418
236,17300,Gunder,0.0,5,erosion,1.11235088450268,602.3378971510169
237,17305,Gunder,0.5,5,erosion,1.070784563879509,591.0386333454063
238,17310,Gunder,1.0,5,erosion,1.3273292660656013,579.817073414643
239,17315,Gunder,1.5,5,erosion,1.2726194448501231,615.9346269167144
240,17325,Gunder,2.5,5,erosion,1.3013708523957948,497.3828277702812
241,17330,Gunder,3.0,5,erosion,1.2935668989191125,567.8955048659799
242,17335,Gunder,3.5,5,erosion,1.4890490879367781,518.1204067579341
243,17340,Gunder,4.0,5,erosion,1.3097498340233904,511.863075328437
244,17343,Gunder,4.3,5,erosion,1.247564646846038,1020.0127431254192
245,18100,Camp Creek,0.0,5,erosion,1.1708394621384461,308.2934945631796
246,18104,Camp Creek,0.4,5,erosion,0.969990343712255,251.14891025861968
247,18200,Robert's Creek,0.0,5,erosion,0.9549574649098039,383.69781312127236
248,18205,Robert's Creek,0.5,5,erosion,1.0314362089812903,303.80382278501224
249,18209,Robert's Creek,0.9,5,erosion,1.0914855773123926,219.23680831644572
250,18300,Gunder,0.0,5,erosion,1.1650070337506098,288.78928533465614
251,18305,Gunder,0.5,5,erosion,1.1867759566066183,221.923522550695
252,18310,Gunder,1.0,5,erosion,1.4209767077857882,333.7455313116371
253,18315,Gunder,1.5,5,erosion,1.3601880175463683,312.1448530102376
254,18320,Gunder,2.0,5,erosion,1.3648703896323777,203.8266509890076
255,18325,Gunder,2.5,5,erosion,1.3873786343967036,709.5700018710825
256,18330,Gunder,3.0,5,erosion,1.24378589042575,318.244423275383
257,19200,Robert's Creek,0.0,2,erosion,1.1378164169002747,390.7543443269168
258,19205,Robert's Creek,0.5,2,erosion,1.2105985514301745,253.39694118752055
259,19210,Robert's Creek,1.0,2,erosion,1.0360364341885977,186.35332921047205
260,19215,Robert's Creek,1.5,2,erosion,1.0418688625764339,191.25480971319558
261,19220,Robert's Creek,2.0,2,erosion,1.0280681869545116,212.2987564807235
262,19222,Robert's Creek,2.2,2,erosion,1.093128514886431,217.40475741430527
263,19300,Gunder,0.0,2,erosion,1.2375427276444038,213.35539006419376
264,19303,Gunder,0.3,2,erosion,1.0350506716441745,330.78764763194795
265,19312,Gunder,1.2,2,erosion,1.1633640961765717,260.6517816509513
266,19315,Gunder,1.5,2,erosion,1.3184574031657939,429.1196406178072
267,19320,Gunder,2.0,2,erosion,1.394771853479876,305.39960077325577
268,19324,Gunder,2.4,2,erosion,1.3664311803277143,359.825300167499
