,Case No,Scientist,Matrix,Project Name,Submission Date,Comments,Sample Number,Site ID,Depth,Collect Date,P 213,round,replicate,ars_code,core_code
561,19x0619,John Kovar,P,,11-18-2019,,19x0619-121,228a,,2019-11-18,4.46,3,a,228,
562,19x0619,John Kovar,P,,11-18-2019,,19x0619-122,228b,,2019-11-18,5.87,3,b,228,
563,19x0619,John Kovar,P,,11-18-2019,,19x0619-123,229a,,2019-11-18,5.49,3,a,229,
564,19x0619,John Kovar,P,,11-18-2019,,19x0619-124,229b,,2019-11-18,9.66,3,b,229,
565,19x0619,John Kovar,P,,11-18-2019,,19x0619-125,230a,,2019-11-18,5.98,3,a,230,
566,19x0619,John Kovar,P,,11-18-2019,,19x0619-126,230b,,2019-11-18,7.36,3,b,230,
567,19x0619,John Kovar,P,,11-18-2019,,19x0619-127,231a,,2019-11-18,2.58,3,a,231,
568,19x0619,John Kovar,P,,11-18-2019,,19x0619-128,231b,,2019-11-18,2.14,3,b,231,
569,19x0619,John Kovar,P,,11-18-2019,,19x0619-129,232a,,2019-11-18,4.22,3,a,232,
570,19x0619,John Kovar,P,,11-18-2019,,19x0619-130,232b,,2019-11-18,5.13,3,b,232,
571,19x0619,John Kovar,P,,11-18-2019,,19x0619-131,233a,,2019-11-18,3.63,3,a,233,
572,19x0619,John Kovar,P,,11-18-2019,,19x0619-132,234a,,2019-11-18,1.94,3,a,234,
573,19x0619,John Kovar,P,,11-18-2019,,19x0619-133,234b,,2019-11-18,2.26,3,b,234,
574,19x0619,John Kovar,P,,11-18-2019,,19x0619-134,235a,,2019-11-18,2.22,3,a,235,
575,19x0619,John Kovar,P,,11-18-2019,,19x0619-135,235b,,2019-11-18,1.75,3,b,235,
576,19x0619,John Kovar,P,,11-18-2019,,19x0619-136,236a,,2019-11-18,2.33,3,a,236,
577,19x0619,John Kovar,P,,11-18-2019,,19x0619-137,236b,,2019-11-18,2.3,3,b,236,
578,19x0619,John Kovar,P,,11-18-2019,,19x0619-138,237a,,2019-11-18,2.75,3,a,237,
579,19x0619,John Kovar,P,,11-18-2019,,19x0619-139,237b,,2019-11-18,4.52,3,b,237,
580,19x0619,John Kovar,P,,11-18-2019,,19x0619-140,238a,,2019-11-18,4.29,3,a,238,
581,19x0619,John Kovar,P,,11-18-2019,,19x0619-141,238b,,2019-11-18,3.26,3,b,238,
582,19x0619,John Kovar,P,,11-18-2019,,19x0619-142,239a,,2019-11-18,3.44,3,a,239,
583,19x0619,John Kovar,P,,11-18-2019,,19x0619-143,239b,,2019-11-18,3.45,3,b,239,
584,19x0619,John Kovar,P,,11-18-2019,,19x0619-144,240a,,2019-11-18,1.36,3,a,240,
585,19x0619,John Kovar,P,,11-18-2019,,19x0619-145,240b,,2019-11-18,2.13,3,b,240,
586,19x0619,John Kovar,P,,11-18-2019,,19x0619-146,241a,,2019-11-18,1.29,3,a,241,
587,19x0619,John Kovar,P,,11-18-2019,,19x0619-147,241b,,2019-11-18,1.84,3,b,241,
588,19x0619,John Kovar,P,,11-18-2019,,19x0619-148,242a,,2019-11-18,1.89,3,a,242,
589,19x0619,John Kovar,P,,11-18-2019,,19x0619-149,242b,,2019-11-18,3.66,3,b,242,
590,19x0619,John Kovar,P,,11-18-2019,,19x0619-150,243a,,2019-11-18,1.37,3,a,243,
591,19x0619,John Kovar,P,,11-18-2019,,19x0619-151,243b,,2019-11-18,1.16,3,b,243,
592,19x0619,John Kovar,P,,11-18-2019,,19x0619-152,244a,,2019-11-18,1.88,3,a,244,
593,19x0619,John Kovar,P,,11-18-2019,,19x0619-153,244b,,2019-11-18,1.12,3,b,244,
594,19x0619,John Kovar,P,,11-18-2019,,19x0619-154,245a,,2019-11-18,1.84,3,a,245,
595,19x0619,John Kovar,P,,11-18-2019,,19x0619-155,245b,,2019-11-18,1.62,3,b,245,
596,19x0619,John Kovar,P,,11-18-2019,,19x0619-156,246a,,2019-11-18,1.18,3,a,246,
597,19x0619,John Kovar,P,,11-18-2019,,19x0619-157,246b,,2019-11-18,1.52,3,b,246,
598,19x0619,John Kovar,P,,11-18-2019,,19x0619-158,247a,,2019-11-18,1.39,3,a,247,
599,19x0619,John Kovar,P,,11-18-2019,,19x0619-159,247b,,2019-11-18,1.49,3,b,247,
600,19x0619,John Kovar,P,,11-18-2019,,19x0619-160,248a,,2019-11-18,1.01,3,a,248,
601,19x0619,John Kovar,P,,11-18-2019,,19x0619-161,248b,,2019-11-18,1.43,3,b,248,
602,19x0619,John Kovar,P,,11-18-2019,,19x0619-162,249a,,2019-11-18,3.02,3,a,249,
603,19x0619,John Kovar,P,,11-18-2019,,19x0619-163,249b,,2019-11-18,3.15,3,b,249,
604,19x0619,John Kovar,P,,11-18-2019,,19x0619-164,250a,,2019-11-18,4.29,3,a,250,
605,19x0619,John Kovar,P,,11-18-2019,,19x0619-165,250b,,2019-11-18,3.54,3,b,250,
606,19x0619,John Kovar,P,,11-18-2019,,19x0619-166,251a,,2019-11-18,5.37,3,a,251,
607,19x0619,John Kovar,P,,11-18-2019,,19x0619-167,251b,,2019-11-18,3.97,3,b,251,
608,19x0619,John Kovar,P,,11-18-2019,,19x0619-168,252a,,2019-11-18,2.91,3,a,252,
609,19x0619,John Kovar,P,,11-18-2019,,19x0619-169,252b,,2019-11-18,3.82,3,b,252,
610,19x0619,John Kovar,P,,11-18-2019,,19x0619-170,253a,,2019-11-18,3.41,3,a,253,
611,19x0619,John Kovar,P,,11-18-2019,,19x0619-171,253b,,2019-11-18,3.65,3,b,253,
612,19x0619,John Kovar,P,,11-18-2019,,19x0619-172,254a,,2019-11-18,4.28,3,a,254,
613,19x0619,John Kovar,P,,11-18-2019,,19x0619-173,254b,,2019-11-18,3.99,3,b,254,
614,19x0619,John Kovar,P,,11-18-2019,,19x0619-174,255a,,2019-11-18,4.47,3,a,255,
615,19x0619,John Kovar,P,,11-18-2019,,19x0619-175,255b,,2019-11-18,4.51,3,b,255,
616,19x0619,John Kovar,P,,11-18-2019,,19x0619-176,256a,,2019-11-18,3.84,3,a,256,
617,19x0619,John Kovar,P,,11-18-2019,,19x0619-177,256b,,2019-11-18,4.75,3,b,256,
618,19x0619,John Kovar,P,,11-18-2019,,19x0619-178,257a,,2019-11-18,4.94,3,a,257,
619,19x0619,John Kovar,P,,11-18-2019,,19x0619-179,257b,,2019-11-18,5.81,3,b,257,
620,19x0619,John Kovar,P,,11-18-2019,,19x0619-180,258a,,2019-11-18,1.62,3,a,258,
621,19x0619,John Kovar,P,,11-18-2019,,19x0619-181,258b,,2019-11-18,1.66,3,b,258,
622,19x0619,John Kovar,P,,11-18-2019,,19x0619-182,259a,,2019-11-18,2.0,3,a,259,
623,19x0619,John Kovar,P,,11-18-2019,,19x0619-183,259b,,2019-11-18,1.8,3,b,259,
624,19x0619,John Kovar,P,,11-18-2019,,19x0619-184,260a,,2019-11-18,1.77,3,a,260,
625,19x0619,John Kovar,P,,11-18-2019,,19x0619-185,260b,,2019-11-18,2.01,3,b,260,
626,19x0619,John Kovar,P,,11-18-2019,,19x0619-186,261a,,2019-11-18,4.84,3,a,261,
627,19x0619,John Kovar,P,,11-18-2019,,19x0619-187,261b,,2019-11-18,4.38,3,b,261,
628,19x0619,John Kovar,P,,11-18-2019,,19x0619-188,262a,,2019-11-18,3.84,3,a,262,
629,19x0619,John Kovar,P,,11-18-2019,,19x0619-189,262b,,2019-11-18,4.51,3,b,262,
630,19x0619,John Kovar,P,,11-18-2019,,19x0619-190,263a,,2019-11-18,4.5,3,a,263,
631,19x0619,John Kovar,P,,11-18-2019,,19x0619-191,263b,,2019-11-18,4.14,3,b,263,
632,19x0619,John Kovar,P,,11-18-2019,,19x0619-192,264a,,2019-11-18,5.71,3,a,264,
633,19x0619,John Kovar,P,,11-18-2019,,19x0619-193,264b,,2019-11-18,5.12,3,b,264,
634,19x0619,John Kovar,P,,11-18-2019,,19x0619-194,265a,,2019-11-18,5.5,3,a,265,
635,19x0619,John Kovar,P,,11-18-2019,,19x0619-195,265b,,2019-11-18,4.01,3,b,265,
636,19x0619,John Kovar,P,,11-18-2019,,19x0619-196,266a,,2019-11-18,4.79,3,a,266,
637,19x0619,John Kovar,P,,11-18-2019,,19x0619-197,266b,,2019-11-18,5.7,3,b,266,
638,19x0619,John Kovar,P,,11-18-2019,,19x0619-198,267a,,2019-11-18,5.29,3,a,267,
639,19x0619,John Kovar,P,,11-18-2019,,19x0619-199,267b,,2019-11-18,4.37,3,b,267,
640,19x0619,John Kovar,P,,11-18-2019,,19x0619-200,268a,,2019-11-18,7.28,3,a,268,
641,19x0619,John Kovar,P,,11-18-2019,,19x0619-201,268b,,2019-11-18,6.8,3,b,268,
642,19x0619,John Kovar,P,,11-18-2019,,19x0619-202,269a,,2019-11-18,7.19,3,a,269,
643,19x0619,John Kovar,P,,11-18-2019,,19x0619-203,269b,,2019-11-18,6.95,3,b,269,
644,19x0619,John Kovar,P,,11-18-2019,,19x0619-204,270a,,2019-11-18,2.4,3,a,270,
645,19x0619,John Kovar,P,,11-18-2019,,19x0619-205,270b,,2019-11-18,3.8,3,b,270,
646,19x0619,John Kovar,P,,11-18-2019,,19x0619-206,271a,,2019-11-18,3.45,3,a,271,
647,19x0619,John Kovar,P,,11-18-2019,,19x0619-207,271b,,2019-11-18,3.65,3,b,271,
648,19x0619,John Kovar,P,,11-18-2019,,19x0619-208,272a,,2019-11-18,4.66,3,a,272,
649,19x0619,John Kovar,P,,11-18-2019,,19x0619-209,272b,,2019-11-18,4.7,3,b,272,
650,19x0619,John Kovar,P,,11-18-2019,,19x0619-210,273a,,2019-11-18,2.1,3,a,273,
651,19x0619,John Kovar,P,,11-18-2019,,19x0619-211,273b,,2019-11-18,2.21,3,b,273,
652,19x0619,John Kovar,P,,11-18-2019,,19x0619-212,274a,,2019-11-18,2.04,3,a,274,
653,19x0619,John Kovar,P,,11-18-2019,,19x0619-213,274b,,2019-11-18,1.0,3,b,274,
654,19x0619,John Kovar,P,,11-18-2019,,19x0619-214,275a,,2019-11-18,1.85,3,a,275,
655,19x0619,John Kovar,P,,11-18-2019,,19x0619-215,275b,,2019-11-18,2.71,3,b,275,
656,19x0619,John Kovar,P,,11-18-2019,,19x0619-216,276a,,2019-11-18,3.73,3,a,276,
657,19x0619,John Kovar,P,,11-18-2019,,19x0619-217,276b,,2019-11-18,4.04,3,b,276,
658,19x0619,John Kovar,P,,11-18-2019,,19x0619-218,277a,,2019-11-18,3.79,3,a,277,
659,19x0619,John Kovar,P,,11-18-2019,,19x0619-219,277b,,2019-11-18,4.08,3,b,277,
660,19x0619,John Kovar,P,,11-18-2019,,19x0619-220,278a,,2019-11-18,3.61,3,a,278,
661,19x0619,John Kovar,P,,11-18-2019,,19x0619-221,278b,,2019-11-18,3.61,3,b,278,
662,19x0619,John Kovar,P,,11-18-2019,,19x0619-222,279a,,2019-11-18,6.25,3,a,279,
663,19x0619,John Kovar,P,,11-18-2019,,19x0619-223,279b,,2019-11-18,7.2,3,b,279,
664,19x0619,John Kovar,P,,11-18-2019,,19x0619-224,280a,,2019-11-18,4.2,3,a,280,
665,19x0619,John Kovar,P,,11-18-2019,,19x0619-225,280b,,2019-11-18,4.23,3,b,280,
666,19x0619,John Kovar,P,,11-18-2019,,19x0619-226,281a,,2019-11-18,6.09,3,a,281,
667,19x0619,John Kovar,P,,11-18-2019,,19x0619-227,281b,,2019-11-18,5.39,3,b,281,
